song_name,duration,artist,album,album_cover,played_at
Shut up My Moms Calling,164571,Hotel Ugly,Shut up My Moms Calling,https://i.scdn.co/image/ab67616d0000b2734e9657f8a8d50fb54f4d2c94,2022-06-16T05:32:07.075Z
Fashion Killa,236280,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),https://i.scdn.co/image/ab67616d0000b2732ae92030b51fb8135d694af9,2022-06-16T05:27:11.820Z
Ley del Hielo,212558,Canserbero,Vida,https://i.scdn.co/image/ab67616d0000b2730f38ea3b0b59d4b59b4da2e6,2022-06-16T05:21:47.785Z
HACIENDO QUE ME AMAS,217768,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab,2022-06-16T05:18:14.245Z
BYE ME FUI,178000,Bad Bunny,LAS QUE NO IBAN A SALIR,https://i.scdn.co/image/ab67616d0000b273ae879683217d488c39600092,2022-06-16T05:09:05.716Z
Nunca Estoy,162493,C. Tangana,El Madrileño,https://i.scdn.co/image/ab67616d0000b273a408c78e231f716383a58eb3,2022-06-16T05:06:07.442Z
Tú Me Dejaste De Querer,198493,C. Tangana,El Madrileño,https://i.scdn.co/image/ab67616d0000b273a408c78e231f716383a58eb3,2022-06-16T05:03:24.407Z
Primer Dia de Clases,146823,Mora,Primer Dia de Clases,https://i.scdn.co/image/ab67616d0000b273dcec31b44548687b2a81d0c2,2022-06-16T05:00:05.761Z
Como Antes,142576,Rels B,Como Antes,https://i.scdn.co/image/ab67616d0000b273c5f773d4445fd54c627e3480,2022-06-16T04:57:37.850Z
120,151506,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab,2022-06-16T04:44:13.883Z
Ignorantes,210606,Bad Bunny,Ignorantes,https://i.scdn.co/image/ab67616d0000b273427b8b4d04aef8ed09293b87,2022-06-16T04:39:06.277Z
Otra Noche en Miami,233128,Bad Bunny,X 100PRE,https://i.scdn.co/image/ab67616d0000b2732fbd77033247e889cb7d2ac4,2022-06-16T04:32:19.032Z
Agradezco,256600,Canserbero,Apa y Can,https://i.scdn.co/image/ab67616d0000b273e30da1080d1bdfcf18f962ea,2022-06-16T04:28:25.567Z
Dime Si Te Acuerdas,187272,Bad Bunny,Dime Si Te Acuerdas,https://i.scdn.co/image/ab67616d0000b273c1445ffb7726fb12190914e7,2022-06-16T04:24:09.036Z
Sing For The Moment,339546,Eminem,The Eminem Show,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,2022-06-16T04:15:23.511Z
Como Antes,142576,Rels B,Como Antes,https://i.scdn.co/image/ab67616d0000b273c5f773d4445fd54c627e3480,2022-06-16T04:08:02.425Z
Can't Tell Me Nothing,271600,Kanye West,Graduation,https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a,2022-06-16T04:05:07.494Z
Let There Be Love,331653,Oasis,Don't Believe The Truth,https://i.scdn.co/image/ab67616d0000b273c9048a825ef38953951d01a4,2022-06-16T04:01:46.284Z
El Paraíso,183259,Los Mesoneros,Caiga la Noche,https://i.scdn.co/image/ab67616d0000b273b7bb14d6b95614bdb46158ff,2022-06-16T02:01:10.644Z
Savior,242280,Rise Against,Appeal To Reason,https://i.scdn.co/image/ab67616d0000b273eaa10fffa60de320846c28be,2022-06-16T01:58:06.292Z
Be Real,226222,Rasmus Faber,Be Real,https://i.scdn.co/image/ab67616d0000b2732335ac60776a03a541abea82,2022-06-16T01:54:03.461Z
Bam Bam (feat. Ed Sheeran),206070,Camila Cabello,Familia,https://i.scdn.co/image/ab67616d0000b273370ed6a9ced20874385fb147,2022-06-16T01:26:30.012Z
Ojitos Lindos,258298,Bad Bunny,Un Verano Sin Ti,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,2022-06-16T01:23:02.847Z
